period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,quarter,synthetic,note
,,,,,,,Q1 2009,,
,,,,,,,Q2 2009,,
2009-06-27,10-Q,8337000000.0,1229000000.0,48140000000.0,22252000000.0,25888000000.0,Q3 2009,False,
2009-09-26,10-Q,34568000000.0,7006000000.0,47501000000.0,15861000000.0,31640000000.0,Q4 2009,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2009-12-26,10-Q,15683000000.0,3378000000.0,53926000000.0,18158000000.0,35768000000.0,Q1 2010,False,
2010-03-27,10-Q,13499000000.0,3074000000.0,57057000000.0,17709000000.0,39348000000.0,Q2 2010,False,
2010-06-26,10-Q,15700000000.0,3253000000.0,64725000000.0,21614000000.0,43111000000.0,Q3 2010,False,
2010-09-25,10-Q,20343000000.0,4308000000.0,75183000000.0,27392000000.0,47791000000.0,Q4 2010,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2010-12-25,10-Q,26741000000.0,6004000000.0,86742000000.0,32076000000.0,54666000000.0,Q1 2011,False,
2011-03-26,10-Q,24667000000.0,5987000000.0,94904000000.0,33427000000.0,61477000000.0,Q2 2011,False,
2011-06-25,10-Q,28571000000.0,7308000000.0,106758000000.0,37415000000.0,69343000000.0,Q3 2011,False,
2011-09-24,10-Q,28270000000.0,6623000000.0,116371000000.0,39756000000.0,76615000000.0,Q4 2011,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2011-12-31,10-Q,46333000000.0,13064000000.0,138681000000.0,48627000000.0,90054000000.0,Q1 2012,False,
2012-03-31,10-Q,39186000000.0,11622000000.0,150934000000.0,48436000000.0,102498000000.0,Q2 2012,False,
2012-06-30,10-Q,35023000000.0,8824000000.0,162896000000.0,51150000000.0,111746000000.0,Q3 2012,False,
2012-09-29,10-Q,35966000000.0,8223000000.0,176064000000.0,57854000000.0,118210000000.0,Q4 2012,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2012-12-29,10-Q,54512000000.0,13078000000.0,196088000000.0,68742000000.0,127346000000.0,Q1 2013,False,
2013-03-30,10-Q,43603000000.0,9547000000.0,194743000000.0,59253000000.0,135490000000.0,Q2 2013,False,
2013-06-29,10-Q,35323000000.0,6900000000.0,199856000000.0,76502000000.0,123354000000.0,Q3 2013,False,
2013-09-28,10-Q,37472000000.0,7512000000.0,207000000000.0,83451000000.0,123549000000.0,Q4 2013,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2013-12-28,10-Q,57594000000.0,13072000000.0,225184000000.0,95500000000.0,129684000000.0,Q1 2014,False,
2014-03-29,10-Q,45646000000.0,10223000000.0,205989000000.0,85810000000.0,120179000000.0,Q2 2014,False,
2014-06-28,10-Q,37432000000.0,7748000000.0,222520000000.0,101580000000.0,120940000000.0,Q3 2014,False,
2014-09-27,10-Q,88562000000.0,17308000000.0,375319000000.0,241272000000.0,134047000000.0,Q4 2014,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
,,,,,,,Q1 2015,,
2015-03-28,10-Q,58010000000.0,13569000000.0,261194000000.0,132188000000.0,129006000000.0,Q2 2015,False,
,,,,,,,Q3 2015,,
2015-09-26,10-Q,42358000000.0,7796000000.0,305602000000.0,179061000000.0,126541000000.0,Q4 2015,False,
,,,,,,,Q1 2016,,
,,,,,,,Q2 2016,,
,,,,,,,Q3 2016,,
,,,,,,,Q4 2016,,
2016-12-31,10-Q,88293000000.0,20065000000.0,406794000000.0,266595000000.0,140199000000.0,Q1 2017,False,
2017-04-01,10-Q,52896000000.0,11029000000.0,334532000000.0,200450000000.0,134082000000.0,Q2 2017,False,
2017-07-01,10-Q,45408000000.0,8717000000.0,345173000000.0,212748000000.0,132425000000.0,Q3 2017,False,
,,,,,,,Q4 2017,,
,,,,,,,Q1 2018,,
2018-03-31,10-Q,61137000000.0,13822000000.0,367502000000.0,240624000000.0,126878000000.0,Q2 2018,False,
2018-06-30,10-Q,53265000000.0,11519000000.0,349197000000.0,234248000000.0,114949000000.0,Q3 2018,False,
2018-09-29,10-Q,151193000000.0,34190000000.0,365725000000.0,258578000000.0,41000000.0,Q4 2018,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2018-12-29,10-Q,84310000000.0,19965000000.0,373719000000.0,255827000000.0,117892000000.0,Q1 2019,False,
2019-03-30,10-Q,58015000000.0,11561000000.0,341998000000.0,236138000000.0,105860000000.0,Q2 2019,False,
2019-06-29,10-Q,53809000000.0,10044000000.0,322239000000.0,225783000000.0,96456000000.0,Q3 2019,False,
2019-09-28,10-Q,64040000000.0,13686000000.0,338516000000.0,248028000000.0,32000000.0,Q4 2019,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2019-12-28,10-Q,91819000000.0,22236000000.0,340618000000.0,251087000000.0,89531000000.0,Q1 2020,False,
2020-03-28,10-Q,58313000000.0,11249000000.0,320400000000.0,241975000000.0,78425000000.0,Q2 2020,False,
2020-06-27,10-Q,59685000000.0,11253000000.0,317344000000.0,245062000000.0,72282000000.0,Q3 2020,False,
,,,,,,,Q4 2020,,
2020-12-26,10-Q,111439000000.0,28755000000.0,354054000000.0,287830000000.0,66224000000.0,Q1 2021,False,
2021-03-27,10-Q,89584000000.0,23630000000.0,337158000000.0,267980000000.0,69178000000.0,Q2 2021,False,
2021-06-26,10-Q,81434000000.0,21744000000.0,329840000000.0,265560000000.0,64280000000.0,Q3 2021,False,
2021-09-25,10-Q,83360000000.0,20551000000.0,351002000000.0,287912000000.0,32000000.0,Q4 2021,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2021-12-25,10-Q,123945000000.0,34630000000.0,381191000000.0,309259000000.0,71932000000.0,Q1 2022,False,
2022-03-26,10-Q,97278000000.0,25010000000.0,350662000000.0,283263000000.0,67399000000.0,Q2 2022,False,
2022-06-25,10-Q,82959000000.0,19442000000.0,336309000000.0,278202000000.0,58107000000.0,Q3 2022,False,
2022-09-24,10-Q,90146000000.0,20721000000.0,352755000000.0,302083000000.0,32000000.0,Q4 2022,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2022-12-31,10-Q,117154000000.0,29998000000.0,346747000000.0,290020000000.0,56727000000.0,Q1 2023,False,
2023-04-01,10-Q,94836000000.0,24160000000.0,332160000000.0,270002000000.0,62158000000.0,Q2 2023,False,
2023-07-01,10-Q,81797000000.0,19881000000.0,335038000000.0,274764000000.0,60274000000.0,Q3 2023,False,
2023-09-30,10-Q,89498000000.0,22956000000.0,352583000000.0,290437000000.0,31000000.0,Q4 2023,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2023-12-30,10-Q,119575000000.0,33916000000.0,353514000000.0,279414000000.0,74100000000.0,Q1 2024,False,
2024-03-30,10-Q,90753000000.0,23636000000.0,337411000000.0,263217000000.0,74194000000.0,Q2 2024,False,
2024-06-29,10-Q,85777000000.0,21448000000.0,331612000000.0,264904000000.0,66708000000.0,Q3 2024,False,
2024-09-28,10-Q,94930000000.0,14736000000.0,364980000000.0,308030000000.0,32000000.0,Q4 2024,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2024-12-28,10-Q,124300000000.0,36330000000.0,344085000000.0,277327000000.0,66758000000.0,Q1 2025,False,
2025-03-29,10-Q,95359000000.0,24780000000.0,331233000000.0,264437000000.0,66796000000.0,Q2 2025,False,
2025-06-28,10-Q,94036000000.0,23434000000.0,331495000000.0,265665000000.0,65830000000.0,Q3 2025,False,
,,,,,,,Q4 2025,,
